"long";"short";"MCC";"number_of_operators";"pipeline_depth";"number_of_unique_operators";"total_number_of_parameters";"digraph"
"KolektorSDD_mean_pipeline";"KolektorSDD";"0.10223099894448701";"2";"2";"2";"8";"digraph Pipeline { rankdir = ""RL"";83 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=31\n Scale=0,3""]; 7 [label=""CoherenceEnhancingDiff\nSigma=0,4\n Rho=2\n Theta=0,3\n Iterations=230""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 83 -> 7 []; 7 -> _1 []; }"
"MAIPreform2_Spule0-0315_Upside Thread 256_mean_pipeline";"Upside Thread 256";"0.33467992609908997";"5";"3";"5";"13";"digraph Pipeline { rankdir = ""RL"";32 [label=""Opening\nStructElement=Rectangle\n A=26\n B=21""]; 21 [label=""Threshold\nMin=10\n Max=200""]; 25 [label=""ZeroCrossing\n""]; 1 [label=""GrayClosing\nStructElement=Circle\n A=11\n B=25\n GrayValueMax=5""]; 4 [label=""GrayDilation\nStructElement=Circle\n A=4\n B=12\n GrayValueMax=10""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 32 -> 21 []; 32 -> 25 []; 21 -> 1 []; 25 -> 4 []; 1 -> _1 []; 4 -> _1 []; }"
"MAIPreform2_Spule0-0315_Upside Thread_mean_pipeline";"Upside Thread";"0.38353229061672300";"2";"2";"2";"7";"digraph Pipeline { rankdir = ""RL"";20 [label=""CropRectangle\nMinRatio=0.0199999995529652\n MaskHeight=7\n MaskWidth=29""]; 5 [label=""GrayClosing\nStructElement=Circle\n A=12\n B=18\n GrayValueMax=2""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 20 -> 5 []; 5 -> _1 []; }"
"MAIPreform2_Spule0-0315_Upside_mean_pipeline";"Upside";"0.63844853284009295";"3";"3";"3";"10";"digraph Pipeline { rankdir = ""RL"";74 [label=""Closing\nA=26\n B=26\n C=0.785398\n StructElementType=Ellipse""]; 25 [label=""BinaryThreshold\nMethod=max_separability\n LightDark=light""]; 9 [label=""GrayOpening\nStructElement=Circle\n A=4\n B=3\n GrayValueMax=2""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 74 -> 25 []; 25 -> 9 []; 9 -> _1 []; }"
"MAIPreform2_Spule2-0816_Upside_mean_pipeline";"Upside";"0.24746326048112699";"2";"2";"2";"7";"digraph Pipeline { rankdir = ""RL"";29 [label=""CropRectangle\nMinRatio=0.0599999986588955\n MaskHeight=7\n MaskWidth=9""]; 7 [label=""CoherenceEnhancingDiff\nSigma=0.8000001\n Rho=19\n Theta=0.2\n Iterations=100""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 29 -> 7 []; 7 -> _1 []; }"
"MT_Blowhole_train_mean_pipeline";"train";"0.43023935370710198";"2";"2";"2";"7";"digraph Pipeline { rankdir = ""RL"";29 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=15\n Scale=0,3""]; 2 [label=""MedianImage\nMaskType=circle\n Radius=2\n Margin=TwoFifityFive""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 29 -> 2 []; 2 -> _1 []; }"
"MVTec_AD_Bottle_Broken_Lg_mean_pipeline";"Lg";"0.35462213160450601";"2";"2";"2";"4";"digraph Pipeline { rankdir = ""RL"";85 [label=""BinaryThreshold\nMethod=max_separability\n LightDark=dark""]; 1 [label=""MeanImage\nMaskWidth=347\n MaskHeight=283""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 85 -> 1 []; 1 -> _1 []; }"
"MVTec_AD_Bottle_Broken_Sm_mean_pipeline";"Sm";"0.36969803332017098";"5";"5";"5";"8";"digraph Pipeline { rankdir = ""RL"";93 [label=""Union1\n""]; 78 [label=""Dilation1\nIterations=12\n StructElement=Ellipse\n A=7\n B=3""]; 22 [label=""ZeroCrossing\n""]; 15 [label=""SobelAmp\nFilterType=y_binomial\n MaskSize=7""]; 5 [label=""CropSmallestRectangle\nMinGray=21\n MaxGray=255""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 93 -> 78 []; 78 -> 22 []; 22 -> 15 []; 15 -> 5 []; 5 -> _1 []; }"
"MVTec_AD_Cable_Missing_mean_pipeline";"Missing";"0.94531477297034705";"5";"5";"5";"13";"digraph Pipeline { rankdir = ""RL"";76 [label=""Connection\nNeighborhood=4""]; 60 [label=""Closing\nA=4\n B=15\n C=0,392699\n StructElementType=Rectangle""]; 36 [label=""SelectShape\nMin=45\n Max=99999\n Features=dist_mean""]; 22 [label=""BinaryThreshold\nMethod=smooth_histo\n LightDark=dark""]; 3 [label=""MedianImage\nMaskType=circle\n Radius=54\n Margin=Ninety""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 76 -> 60 []; 60 -> 36 []; 36 -> 22 []; 22 -> 3 []; 3 -> _1 []; }"
"MVTec_AD_Capsule_mean_pipeline";"Capsule";"0.25605377294848902";"4";"4";"4";"16";"digraph Pipeline { rankdir = ""RL"";73 [label=""Closing\nA=26\n B=18\n C=0,392699\n StructElementType=Circle""]; 28 [label=""VarThreshold\nMaskWidth=9\n MaskHeight=17\n StdDevScale=0,9000002\n AbsThreshold=81\n LightDark=light""]; 14 [label=""SobelAmp\nFilterType=x\n MaskSize=5""]; 7 [label=""EdgesImage\nFilter=canny\n Alpha=1,3\n Low=10\n High=25\n NonMaximumSuppression=nms""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 73 -> 28 []; 28 -> 14 []; 14 -> 7 []; 7 -> _1 []; }"
