"long";"short";"MCC";"number_of_operators";"pipeline_depth";"number_of_unique_operators";"total_number_of_parameters";"digraph"
"MAIPreform2_Spule0-0315_Upside Thread_mean_pipeline";"Upside Thread";"0.12973488277429515";"2";"2";"2";"7";"digraph Pipeline { rankdir = ""RL"";84 [label=""ThresholdAccessChannel\nChannel=1\n Threshold=41\n Sign=-1""]; 0 [label=""GrayClosing\nStructElement=Circle\n A=28\n B=27\n GrayValueMax=40""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 84 -> 0 []; 0 -> _1 []; }"
"MAIPreform2_Spule0-0315_Upside_mean_pipeline";"Upside";"0.63452677319926842";"5";"3";"5";"9";"digraph Pipeline { rankdir = ""RL"";32 [label=""Union2\n""]; 21 [label=""ZeroCrossing\n""]; 22 [label=""ThresholdAccessChannel\nChannel=1\n Threshold=23\n Sign=-1""]; 12 [label=""SobelAmp\nFilterType=y\n MaskSize=3""]; 7 [label=""AnisotropicDiffusion\nDiffusionCoefficient=parabolic\n Contrast=10\n Theta=3\n Iterations=1""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 32 -> 21 []; 32 -> 22 []; 21 -> 12 []; 22 -> 7 []; 12 -> _1 []; 7 -> _1 []; }"
"MAIPreform2_Spule2-0816_Upside_mean_pipeline";"Upside";"0.21876457677125874";"1";"1";"1";"3";"digraph Pipeline { rankdir = ""RL"";27 [label=""CropRectangle\nMinRatio=0.0899999961256981\n MaskHeight=3\n MaskWidth=15""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 27 -> _1 []; }"
"MT_Blowhole_train_mean_pipeline";"train";"0.35515853769347178";"2";"2";"2";"8";"digraph Pipeline { rankdir = ""RL"";20 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=31\n Scale=0,5""]; 9 [label=""GrayErosion\nStructElement=Circle\n A=2\n B=4\n GrayValueMax=10""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 20 -> 9 []; 9 -> _1 []; }"
"MVTec_AD_Bottle_Broken_Lg_mean_pipeline";"Lg";"0.33367424624985387";"2";"2";"2";"5";"digraph Pipeline { rankdir = ""RL"";87 [label=""CropRectangle\nMinRatio=0.0199999995529652\n MaskHeight=7\n MaskWidth=7""]; 1 [label=""SmoothImage\nFilter=gauss\n Alpha=47.1181""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 87 -> 1 []; 1 -> _1 []; }"
"MVTec_AD_Bottle_Broken_Sm_mean_pipeline";"Sm";"0.29508555353196653";"4";"4";"4";"9";"digraph Pipeline { rankdir = ""RL"";94 [label=""Connection\nNeighborhood=8""]; 39 [label=""Closing\nA=12\n B=27\n C=0\n StructElementType=Ellipse""]; 29 [label=""FastThreshold\nMinGray=68\n MaxGrayOffset=190\n MinSize=180""]; 1 [label=""Roberts\nFilterType=gradient_max""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 94 -> 39 []; 39 -> 29 []; 29 -> 1 []; 1 -> _1 []; }"
"MVTec_AD_Cable_Missing_mean_pipeline";"Missing";"0.85641154944386955";"3";"3";"3";"7";"digraph Pipeline { rankdir = ""RL"";70 [label=""Connection\nNeighborhood=4""]; 28 [label=""BinaryThreshold\nMethod=smooth_histo\n LightDark=dark""]; 7 [label=""AnisotropicDiffusion\nDiffusionCoefficient=perona_malik\n Contrast=10\n Theta=3\n Iterations=100""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 70 -> 28 []; 28 -> 7 []; 7 -> _1 []; }"
"MVTec_AD_Capsule_mean_pipeline";"Capsule";"0.12124516934635791";"3";"3";"3";"12";"digraph Pipeline { rankdir = ""RL"";87 [label=""VarThreshold\nMaskWidth=23\n MaskHeight=25\n StdDevScale=-0,09999993\n AbsThreshold=19\n LightDark=not_equal""]; 14 [label=""SobelAmp\nFilterType=y\n MaskSize=7""]; 7 [label=""EdgesImage\nFilter=canny\n Alpha=1,1\n Low=5\n High=25\n NonMaximumSuppression=nms""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 87 -> 14 []; 14 -> 7 []; 7 -> _1 []; }"
"MVTec_AD_Carpet_mean_pipeline";"Carpet";"0.09822679706436936";"5";"5";"5";"16";"digraph Pipeline { rankdir = ""RL"";60 [label=""Erosion1\nIterations=49\n StructElement=Ellipse\n A=6\n B=5""]; 33 [label=""Dilation1\nIterations=30\n StructElement=Circle\n A=1\n B=18""]; 27 [label=""AutoThreshold\nSigma=0,5""]; 12 [label=""SobelAmp\nFilterType=y_binomial\n MaskSize=7""]; 1 [label=""EdgesImage\nFilter=canny\n Alpha=0,5\n Low=30\n High=45\n NonMaximumSuppression=nms""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 60 -> 33 []; 33 -> 27 []; 27 -> 12 []; 12 -> 1 []; 1 -> _1 []; }"
"MVTec_AD_Grid_Thread_mean_pipeline";"Thread";"0.44745383165345565";"8";"7";"8";"15";"digraph Pipeline { rankdir = ""RL"";91 [label=""Closing\nA=27\n B=7\n C=0,392699\n StructElementType=Rectangle""]; 78 [label=""Union1\n""]; 69 [label=""Opening\nStructElement=Ellipse\n A=21\n B=20""]; 20 [label=""CropRectangle\nMinRatio=0,0399999991059303\n MaskHeight=13\n MaskWidth=19""]; 36 [label=""Union2\n""]; 1 [label=""CropSmallestRectangle\nMinGray=19\n MaxGray=255""]; 22 [label=""AutoThreshold\nSigma=0,5""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 19 [label=""SobelAmp\nFilterType=y\n MaskSize=7""]; 91 -> 78 []; 78 -> 69 []; 69 -> 20 []; 69 -> 36 []; 20 -> 1 []; 36 -> 20 []; 36 -> 22 []; 1 -> _1 []; 22 -> 19 []; 19 -> 1 []; }"
