,t_8,80.jpg_bright,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,spule2-0816_Upside-dl1,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest
grid_thread,0.7416711,0.7955115,0.65771943,0.91020083,0.9102785,0.9370483,0.9199139,0.93160564,0.9978331,0.60236144,0.98558956,0.89796484,0.97777146,0.8675995,0.98528385,0.98528385,0.98361826,0.9683113,0.9737796,0.92620146,0.98173887,0.97589743,1.0,0.92275417,0.9760539,0.93004143,0.94277567,0.9996274,0.96395737,0.95486265,0.9617791,0.91056156,0.9449028,0.94512504,0.9449028,0.8697412,0.9706325,0.86483884
hazelnut_crack_train,0.89973074,0.93212,0.8320764,0.99601173,0.99644405,0.9904235,0.9922502,0.9489302,0.94510657,0.77404594,0.9699251,0.9977475,0.97374564,0.98226035,0.9697065,0.9697065,0.9720503,0.98560673,0.98129255,0.99570745,0.8381885,0.9824524,0.92275417,1.0000001,0.980356,0.9861473,0.9869537,0.9126275,0.9850148,0.99055326,0.98130137,0.9966512,0.9938808,0.99386054,0.9938808,0.97596496,0.9761766,0.9583832
metal_nut,0.8147136,0.8611163,0.7311799,0.97778755,0.9776894,0.99040306,0.98305845,0.9392648,0.9881967,0.6671516,0.9986897,0.96532804,0.98803437,0.9336363,0.99870694,0.99870694,0.9991756,0.9994393,0.9999246,0.9857334,0.9172033,0.99975115,0.9760539,0.980356,0.9999999,0.98695725,0.99220645,0.96976686,0.998633,0.98555386,0.9974709,0.967432,0.9833124,0.9834302,0.9833124,0.9284742,0.9985406,0.9122688
pill,0.81921935,0.86085784,0.7342702,0.9944697,0.99399126,0.99940985,0.9985627,0.89999115,0.9516519,0.66138357,0.97866416,0.97679216,0.95866436,0.93871444,0.9791014,0.9791014,0.98090255,0.9912498,0.98875576,0.9971657,0.84433854,0.985535,0.93004143,0.9861473,0.98695725,1.0,0.99932265,0.91972697,0.99402004,0.9695093,0.9950593,0.96930134,0.9725631,0.9726277,0.9725631,0.9263702,0.990867,0.8991092
screw_scratch_neck_train,0.81972486,0.86254376,0.73487055,0.99287176,0.99247503,0.99963397,0.9972794,0.9107138,0.9622385,0.6637322,0.98552287,0.9762586,0.96741676,0.9394424,0.98586833,0.98586833,0.98736197,0.9953852,0.9935879,0.9967878,0.86310583,0.99102134,0.94277567,0.9869537,0.99220645,0.99932265,0.99999994,0.93336815,0.9973627,0.9752237,0.9979313,0.97090334,0.9770447,0.97712225,0.9770447,0.9286509,0.9949512,0.9037485
tile_crack,0.7309236,0.78538704,0.6473945,0.8987683,0.8988761,0.9272002,0.9089268,0.92795694,0.99567664,0.5934044,0.9806137,0.8867836,0.973332,0.85688996,0.9802629,0.9802629,0.97833973,0.96116024,0.9672215,0.9156874,0.986547,0.9696466,0.9996274,0.9126275,0.96976686,0.91972697,0.93336815,0.99999994,0.9563511,0.9480276,0.95401573,0.9006924,0.93712443,0.93735826,0.93712443,0.8599631,0.9638079,0.8565244
toothbrush_small,0.8185307,0.86347955,0.7343281,0.98599684,0.9857743,0.9961628,0.99090296,0.9291009,0.9791893,0.6671881,0.9950679,0.9717961,0.9812522,0.9379184,0.99522233,0.99522233,0.99612164,0.9996409,0.99917054,0.99225855,0.8962847,0.99798965,0.96395737,0.9850148,0.998633,0.99402004,0.9973627,0.9563511,1.0000001,0.98310786,0.99956065,0.9707711,0.98255765,0.98265874,0.98255765,0.93037194,0.9989346,0.9104621
wood_scratch,0.8927283,0.929361,0.8265403,0.9768477,0.9776278,0.9772829,0.97383857,0.9793684,0.9695928,0.77748,0.98064196,0.98360205,0.9944908,0.97446185,0.9800464,0.9800464,0.98134243,0.98686963,0.98482597,0.98086786,0.8919501,0.98892975,0.95486265,0.99055326,0.98555386,0.9695093,0.9752237,0.9480276,0.98310786,1.0000001,0.97726935,0.9909882,0.9992991,0.99931717,0.9992991,0.97498095,0.97634786,0.968124
zipper,0.8047315,0.8507225,0.7179982,0.98474133,0.98435813,0.99625885,0.9908375,0.9178603,0.9771827,0.6480837,0.9940226,0.9672548,0.9757534,0.9295392,0.99429965,0.99429965,0.9951544,0.998503,0.9982361,0.99124324,0.8931845,0.9961802,0.9617791,0.98130137,0.9974709,0.9950593,0.9979313,0.95401573,0.99956065,0.97726935,1.0,0.9647634,0.97681403,0.97692686,0.97681403,0.92062485,0.99934316,0.8985279
leather,0.93039626,0.9578336,0.87204754,0.98658514,0.987464,0.97596854,0.97901213,0.96364635,0.9328927,0.82185555,0.95617753,0.99789053,0.9715049,0.99369216,0.9556355,0.9556355,0.9581987,0.9730321,0.9679284,0.98485583,0.8278941,0.9712143,0.91056156,0.9966512,0.967432,0.96930134,0.97090334,0.9006924,0.9707711,0.9909882,0.9647634,0.99999994,0.99429345,0.9942327,0.99429345,0.99040294,0.9593175,0.97767764
resin_cgp,0.89873576,0.9343033,0.8327832,0.98163027,0.9823844,0.97975713,0.97790885,0.97556984,0.9619614,0.78311527,0.9765855,0.9884283,0.9907435,0.9793464,0.97603744,0.97603744,0.9776898,0.98579925,0.9828946,0.9843746,0.8754384,0.98676693,0.9449028,0.9938808,0.9833124,0.9725631,0.9770447,0.93712443,0.98255765,0.9992991,0.97681403,0.99429345,0.99999994,0.9999997,0.99999994,0.9790394,0.97459036,0.97103614
resin_cgp_augmented,0.89845926,0.93407714,0.83244216,0.9816243,0.98237604,0.97981566,0.9779367,0.97554857,0.9621515,0.7827391,0.9767335,0.98836315,0.99082446,0.9792122,0.9761867,0.9761867,0.9778328,0.9858982,0.9830102,0.9843964,0.8757385,0.98687434,0.94512504,0.99386054,0.9834302,0.9726277,0.97712225,0.93735826,0.98265874,0.99931717,0.97692686,0.9942327,0.9999997,0.9999999,0.9999997,0.97890216,0.9747234,0.97089195
window_cgp,0.89873576,0.9343033,0.8327832,0.98163027,0.9823844,0.97975713,0.97790885,0.97556984,0.9619614,0.78311527,0.9765855,0.9884283,0.9907435,0.9793464,0.97603744,0.97603744,0.9776898,0.98579925,0.9828946,0.9843746,0.8754384,0.98676693,0.9449028,0.9938808,0.9833124,0.9725631,0.9770447,0.93712443,0.98255765,0.9992991,0.97681403,0.99429345,0.99999994,0.9999997,0.99999994,0.9790394,0.97459036,0.97103614
severstal,0.9679805,0.98657715,0.9258888,0.9565322,0.95812756,0.93662363,0.9424213,0.97060794,0.89292824,0.88965607,0.9150509,0.9835904,0.9500861,0.99834514,0.914,0.914,0.91707945,0.9351622,0.92834383,0.9518843,0.7879637,0.9351246,0.8697412,0.97596496,0.9284742,0.9263702,0.9286509,0.8599631,0.93037194,0.97498095,0.92062485,0.99040294,0.9790394,0.97890216,0.9790394,1.0,0.9140393,0.9955388
transistor_damaged_case_train,0.79450554,0.84215176,0.7068573,0.9783282,0.97794765,0.99253005,0.98539436,0.91968,0.9837133,0.637597,0.996935,0.96027565,0.97833455,0.921985,0.997178,0.997178,0.9976676,0.99836296,0.9989737,0.9862665,0.9084289,0.9971551,0.9706325,0.9761766,0.9985406,0.990867,0.9949512,0.9638079,0.9989346,0.97634786,0.99934316,0.9593175,0.97459036,0.9747234,0.97459036,0.9140393,1.0000001,0.89338356
crack_forest,0.9661336,0.985127,0.9287387,0.93156195,0.93351376,0.9119215,0.91608196,0.9807605,0.8850373,0.9020301,0.90051365,0.96525127,0.94759625,0.98848045,0.89914215,0.89914215,0.9019345,0.9175233,0.91108745,0.92821187,0.79235685,0.92055064,0.86483884,0.9583832,0.9122688,0.8991092,0.9037485,0.8565244,0.9104621,0.968124,0.8985279,0.97767764,0.97103614,0.97089195,0.97103614,0.9955388,0.89338356,0.9999999
