similarity,cross_score
0.9661336,-0.0007752581870938
0.985127,-0.0012470841794791
0.9287387,-0.0008868085053643
0.93156195,-0.0041731214741836
0.93351376,-0.0024251231668627
0.9119215,-0.0120622524593803
0.91608196,-0.0014827997231029
0.94759625,0.0934011360187792
0.9019345,-0.0210339885836844
0.89914215,-0.0082013923795593
0.89914215,-0.0873023562842346
0.90051365,0.0541272712585439
0.9807605,-0.0045500655798625
0.9020301,-0.0058893576512875
0.8850373,-0.0100324204810632
0.96525127,0.000757181739207
0.98848045,0.3838409110508463
0.9175233,0.0181482075468504
0.91108745,0.0350127366599846
0.92055064,0.0670123799284677
0.92821187,0.0191357263424899
0.79235685,-0.0364802457275563
0.86483884,-0.0066187238818361
0.9583832,0.2074349428327318
0.97767764,0.1897000204398943
0.9122688,0.0528399146969943
0.8991092,-0.0011470434738245
0.9037485,-0.0018320197912073
0.8565244,0.5194294468989331
0.9104621,0.0039831642197481
0.968124,0.0091452867732665
0.8985279,0.0368749027103513
0.97089195,-0.0228858410946023
0.97103614,0.0024712715855155
0.97103614,-0.0445309090469286
0.9955388,0.0320820649379058
0.89338356,-0.0167041720389284
0.6566718,0.0
0.71337575,0.0
0.57740486,0.0018002694673766
0.8171245,0.0
0.8174028,-0.008657427836474
0.8544081,-0.0050442031265638
0.829727,-0.010348455612833
0.9306434,-0.0472201679391268
0.93169767,0.0012487300020393
0.9351359,-0.0019878299611012
0.9351359,-0.0015282724969757
0.9357389,0.0014974863555294
0.8904441,-0.0159903719142444
0.53172594,0.0007413899964849
0.9671719,-0.0414026367708469
0.80674326,-0.0250686784074525
0.7799211,-0.0977798622997572
0.9036126,-0.0790116565599983
0.91316533,-0.0686993124660674
0.91715366,0.2114526890587077
0.83910716,-0.053811173342604
0.98173887,-0.0462348948287888
0.8381885,-0.3393809889144752
0.8278941,-0.4479239208146763
0.9172033,0.0265687150364587
0.84433854,-0.13930550603715
0.86310583,-0.1175955113070533
0.986547,-0.1931704699037763
0.8962847,-0.1281057878521987
0.8919501,-0.067814158177006
0.8931845,0.0153114459023717
0.8757385,-0.0554817152830828
0.8754384,-0.0959776834622442
0.8754384,0.1265255634141755
0.7879637,-0.1369631583559304
0.79235685,-0.3024012716220658
0.9084289,0.0250726951608911
0.99578625,0.0050431065933447
0.9906634,0.0099006458730566
0.8722065,0.0881194581933816
0.8747538,0.0804394535795243
0.833068,0.1292244555167281
0.8466325,0.0132226238737242
0.8505563,-0.0205849394771841
0.7984259,0.0337737891345356
0.7941537,0.0280067826578723
0.7941537,0.3386930839134595
0.7957788,-0.0108704027331899
0.91308796,0.0144120091595445
0.9711866,0.0756943973636329
0.7686201,-0.0075942711336163
0.9224183,-0.1176138268055251
0.9649337,-0.0704026338581635
0.8251101,0.0597010618188324
0.81490135,0.0574204203712861
0.8243692,-0.2798629924206287
0.8595445,0.0211869216971766
0.6566718,0.0325046428016121
0.7416711,-0.1186953499799789
0.89973074,0.2107358262255173
0.93039626,-0.0948012594751179
0.8147136,-0.040391177079212
0.81921935,0.0781256252350194
0.81972486,-0.0127204839639401
0.7309236,-0.2044177605174423
0.8185307,0.1687011059961625
0.8927283,-0.2387733690867009
0.8047315,0.1059816225298141
0.89845926,0.0338503920407323
0.89873576,0.0341890642459122
0.89873576,-0.0933550921886324
0.9679805,0.0239140137136432
0.9661336,-0.2604684662088571
0.79450554,-0.1301636187128637
0.99578625,-0.0001128174566274
0.975132,-2.7616529074353685e-05
0.9060496,0.0012901372170044
0.90832675,0.0204202646742385
0.8739699,0.008383159487198
0.8843417,0.0411614109707978
0.8941813,0.0218487721425845
0.8468546,-0.0144367501107654
0.84307957,-0.013961986821076
0.84307957,0.1011414637729232
0.84456205,0.0009982600346414
0.9437543,0.1150001882136784
0.95078206,0.0192416646968053
0.82051253,0.1477540789283253
0.9491996,0.0345582729524565
0.98315954,0.0792071150465509
0.86986095,0.0356809712300688
0.86099803,0.0772566776828803
0.86996645,-0.0149917668645601
0.89657223,0.0503933657968788
0.71337575,-0.0029429315801659
0.7955115,-0.0005283627177205
0.93212,0.1393005789983128
0.9578336,0.0774610211992059
0.8611163,0.0146882348764119
0.86085784,0.0069734779586058
