similarity,cross_score
0.6643782,-0.0007752581870938
0.9969092,-0.0012470841794791
0.98714936,-0.0008868085053643
0.9939308,-0.0041731214741836
0.9954943,-0.0024251231668627
0.99101526,-0.0120622524593803
0.99782866,-0.0014827997231029
0.9772101,0.0934011360187792
0.97499657,-0.0210339885836844
0.96805143,-0.0082013923795593
0.96805143,-0.0873023562842346
0.95888346,0.0541272712585439
0.73711866,-0.0045500655798625
0.67144126,-0.0058893576512875
0.8010347,-0.0100324204810632
0.9943692,0.000757181739207
0.9914879,0.3838409110508463
0.9888976,0.0181482075468504
0.97986275,0.0350127366599846
0.9929236,0.0670123799284677
0.9878623,0.0191357263424899
0.6183398,-0.0364802457275563
0.7084078,-0.0066187238818361
0.9931945,0.2074349428327318
0.9897865,0.1897000204398943
0.99469215,0.0528399146969943
0.98963016,-0.0011470434738245
0.9937461,-0.0018320197912073
0.97180384,0.5194294468989331
0.9946459,0.0039831642197481
0.99146837,0.0091452867732665
0.9924721,0.0368749027103513
0.9961772,-0.0228858410946023
0.9958469,0.0024712715855155
0.9958469,-0.0445309090469286
0.99350417,0.0320820649379058
0.99234116,-0.0167041720389284
0.93031937,0.0
0.58619183,0.0
0.500352,0.0018002694673766
0.5617639,0.0
0.62972915,-0.008657427836474
0.67135614,-0.0050442031265638
0.6121392,-0.010348455612833
0.7499857,-0.0472201679391268
0.7736366,0.0012487300020393
0.78294,-0.0019878299611012
0.78294,-0.0015282724969757
0.791402,0.0014974863555294
0.9864656,-0.0159903719142444
0.99662244,0.0007413899964849
0.938505,-0.0414026367708469
0.5611971,-0.0250686784074525
0.5405587,-0.0977798622997572
0.6927882,-0.0790116565599983
0.7263484,-0.0686993124660674
0.6312205,0.2114526890587077
0.50464207,-0.053811173342604
0.9922875,-0.0462348948287888
0.54860556,-0.3393809889144752
0.70055866,-0.4479239208146763
0.66563684,0.0265687150364587
0.51604706,-0.13930550603715
0.57184136,-0.1175955113070533
0.74464595,-0.1931704699037763
0.6060066,-0.1281057878521987
0.70006865,-0.067814158177006
0.554572,0.0153114459023717
0.63298094,-0.0554817152830828
0.6324994,-0.0959776834622442
0.6324994,0.1265255634141755
0.55429894,-0.1369631583559304
0.6183398,-0.3024012716220658
0.61252147,0.0250726951608911
0.65042293,0.0050431065933447
0.5770255,0.0099006458730566
0.6213393,0.0881194581933816
0.6750822,0.0804394535795243
0.6804314,0.1292244555167281
0.6731766,0.0132226238737242
0.74902093,-0.0205849394771841
0.7760192,0.0337737891345356
0.7703199,0.0280067826578723
0.7703199,0.3386930839134595
0.76264143,-0.0108704027331899
0.93996507,0.0144120091595445
0.9222044,0.0756943973636329
0.83612114,-0.0075942711336163
0.6093609,-0.1176138268055251
0.59126234,-0.0704026338581635
0.69139546,0.0597010618188324
0.71236396,0.0574204203712861
0.6366787,-0.2798629924206287
0.5577745,0.0211869216971766
0.93031937,0.0325046428016121
0.93099964,-0.1186953499799789
0.59276384,0.2107358262255173
0.76060313,-0.0948012594751179
0.6793284,-0.040391177079212
0.56178427,0.0781256252350194
0.61122066,-0.0127204839639401
0.71959686,-0.2044177605174423
0.6219845,0.1687011059961625
0.71352,-0.2387733690867009
0.588393,0.1059816225298141
0.65865177,0.0338503920407323
0.65662104,0.0341890642459122
0.65662104,-0.0933550921886324
0.6088462,0.0239140137136432
0.6643782,-0.2604684662088571
0.62310743,-0.1301636187128637
0.65042293,-0.0001128174566274
0.9946648,-2.7616529074353685e-05
0.99869514,0.0012901372170044
0.9970781,0.0204202646742385
0.9862845,0.008383159487198
0.999368,0.0411614109707978
0.96104085,0.0218487721425845
0.96254045,-0.0144367501107654
0.9549468,-0.013961986821076
0.9549468,0.1011414637729232
0.9443392,0.0009982600346414
0.7097493,0.1150001882136784
0.6403018,0.0192416646968053
0.77042246,0.1477540789283253
0.9976302,0.0345582729524565
0.99600637,0.0792071150465509
0.980372,0.0356809712300688
0.9696694,0.0772566776828803
0.98731804,-0.0149917668645601
0.9929676,0.0503933657968788
0.58619183,-0.0029429315801659
0.6772215,-0.0005283627177205
0.99611723,0.1393005789983128
0.983878,0.0774610211992059
0.9879283,0.0146882348764119
0.99244463,0.0069734779586058
0.99624604,0.0281598546083826
0.95449233,0.1085124405259592
0.9911351,0.0457904753495207
0.9845639,0.1423883057731487
0.9903568,0.0761916072922367
0.9940696,-0.016104270489324
0.9936571,0.0043429737814148
0.9936571,-0.0096671295849466
0.9978491,0.0873992260835972
0.9969092,0.1218764234372587
0.98920906,0.0097921657376194
0.5770255,0.0197654326308454
0.9946648,0.008769620899019
0.9968095,0.0304582931912673
0.98647594,0.0355974076025517
0.96986765,0.0566638655765025
0.9908044,0.0128670810871546
0.93152684,0.0
0.9309059,0.1356964401522922
0.92176825,0.1308814943628229
0.92176825,0.6334658743576503
0.90941125,0.0790052651985696
0.6337496,0.0030932812828666
0.55856884,0.0168178460105619
0.7050169,0.0002918536764133
0.99568796,0.0
0.9967966,0.001860229797506
0.9602906,0.0862723304284122
0.94481456,0.0639001337622694
0.9755797,-0.7286898813602174
0.997775,-0.0042212564785477
0.500352,0.0021005150213077
0.59839886,-0.0015224787951219
0.9956114,0.3135720109605214
0.96250105,0.0
0.9714826,0.0782605603943137
0.99527115,0.1037899930084923
0.9930326,0.0
0.92542726,-0.0461996809301457
0.982724,0.206793604804781
0.9638912,0.0
0.9875539,-0.0090461411652623
0.98284024,0.2089995344569243
0.9824822,0.2088538330079138
0.9824822,0.38580021522706
0.99688804,0.0623773131192221
0.98714936,0.0
0.9804315,-0.0468619357107302
0.6213393,0.0272001861893481
0.99869514,0.0081263729860231
0.9968095,0.070412839465489
0.996237,0.1237827371581021
0.98550475,0.2063135103006307
0.99717414,0.0369795871856211
0.9515266,0.0450600650020948
0.95457405,0.0912857223346713
0.9479364,0.0559294383807178
0.9479364,0.5417203372576116
