,t_8,80.jpg_bright,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,spule2-0816_Upside-dl1,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest
spule-upside-hole-reduced,0.84263825,0.84645593,0.70951843,0.95838916,0.98620415,0.9894345,0.9450461,0.9643143,0.9937712,0.9836374,0.99794686,0.9662322,0.9857903,0.96094805,1.0,1.0,0.99907345,0.9580443,0.9598398,0.95846397,0.985608,0.97323674,0.98120093,0.94281995,0.972924,0.96084714,0.9671474,0.9834382,0.97064894,0.9883674,0.9872458,0.9878644,0.93317664,0.9332668,0.93317664,0.9257619,0.97507113,0.9850646
spule-upside-hole256-reduced,0.8522964,0.8582951,0.72115195,0.96511275,0.9905075,0.99270546,0.9528967,0.96977997,0.9962001,0.9870673,0.99932134,0.97330064,0.99120754,0.96841794,0.99907345,0.99907345,1.0000001,0.96657574,0.96807134,0.96706575,0.980599,0.98006326,0.9873072,0.9521548,0.9804396,0.9689856,0.97468305,0.9893415,0.97767943,0.99213064,0.99191964,0.98397994,0.9436284,0.94371676,0.9436284,0.93397975,0.98156714,0.9864532
bottle_large,0.8483719,0.87183535,0.7186442,0.9638773,0.98915744,0.98900646,0.9564686,0.95828414,0.9831421,0.9648463,0.96873903,0.9848,0.9886917,0.9720053,0.9580443,0.9580443,0.96657574,0.99999994,0.99995416,0.99992365,0.89770985,0.9981619,0.9918466,0.96510136,0.99511945,0.999937,0.9994194,0.99288374,0.9988485,0.98256266,0.98871344,0.9186963,0.96354765,0.96363854,0.96354765,0.9365852,0.9976753,0.95346177
bottle_small,0.84539855,0.8687137,0.71429646,0.96298194,0.98960334,0.9899567,0.955188,0.9576566,0.9841488,0.9650222,0.9699433,0.98426574,0.9890554,0.97117573,0.9598398,0.9598398,0.96807134,0.99995416,1.0,0.99980646,0.90029883,0.9984537,0.99204344,0.9637311,0.9950301,0.9999855,0.9995744,0.99334466,0.9991285,0.9829822,0.98921704,0.9203452,0.96190834,0.96200174,0.96190834,0.934892,0.9981123,0.95386535
capsule,0.8547547,0.87775177,0.7270822,0.96687275,0.9899885,0.98914576,0.9598824,0.96134025,0.9836112,0.967103,0.9696149,0.98668826,0.98957634,0.9746632,0.95846397,0.95846397,0.96706575,0.99992365,0.99980646,1.0,0.89868313,0.9982196,0.99274975,0.968215,0.9959971,0.99982005,0.999438,0.993342,0.9988179,0.9837867,0.98952246,0.92063314,0.9667454,0.9668323,0.9667454,0.9407549,0.99761623,0.95579726
carpet,0.8198451,0.8124864,0.69454294,0.92411244,0.94754523,0.95122975,0.9090943,0.93648684,0.9617811,0.96076375,0.97803664,0.9221309,0.9487481,0.9234767,0.985608,0.985608,0.980599,0.89770985,0.90029883,0.89868313,1.0,0.92213804,0.93996507,0.90111357,0.9256193,0.9018734,0.91213423,0.9423147,0.91764736,0.955464,0.9503243,0.99082184,0.88763255,0.8877135,0.88763255,0.89224327,0.92518455,0.9682169
cable_missing_train,0.8547063,0.87379694,0.72386295,0.9700374,0.9953538,0.9955999,0.96137005,0.9667045,0.99192995,0.9757315,0.98159164,0.9877674,0.9952939,0.97697043,0.97323674,0.97323674,0.98006326,0.9981619,0.9984537,0.9982196,0.92213804,0.9999998,0.9966026,0.96776664,0.99758315,0.9986766,0.999558,0.99792564,0.99984366,0.9906844,0.9951928,0.93911743,0.9646388,0.9647289,0.9646388,0.9415371,0.9998181,0.9670904
grid_thread,0.8866446,0.90129685,0.76615775,0.9845442,0.99901915,0.99631536,0.97743255,0.9832926,0.9957483,0.9899861,0.99026686,0.9952035,0.9993847,0.9892334,0.98120093,0.98120093,0.9873072,0.9918466,0.99204344,0.99274975,0.93996507,0.9966026,1.0,0.9810154,0.99918276,0.99254954,0.995151,0.99920756,0.9957127,0.9976529,0.9993497,0.9587888,0.9771547,0.9772251,0.9771547,0.96163964,0.99640375,0.9829698
hazelnut_crack_train,0.9565051,0.9678609,0.87332094,0.9976532,0.97703,0.9627092,0.9987976,0.994708,0.96499336,0.98543704,0.9617843,0.9938018,0.97827834,0.9981792,0.94281995,0.94281995,0.9521548,0.96510136,0.9637311,0.968215,0.90111357,0.96776664,0.9810154,1.0,0.9825134,0.96450335,0.967478,0.9730317,0.9663147,0.97999,0.97667,0.93867123,0.99951446,0.99951875,0.99951446,0.99520737,0.9652432,0.97708637
metal_nut,0.8870782,0.904215,0.76798713,0.9836307,0.99702644,0.9936236,0.977465,0.9807698,0.991747,0.98545724,0.9839282,0.9956214,0.997584,0.9890087,0.972924,0.972924,0.9804396,0.99511945,0.9950301,0.9959971,0.9256193,0.99758315,0.99918276,0.9825134,1.0,0.99540335,0.9970873,0.9981559,0.9970736,0.9945717,0.9971793,0.94699913,0.9798459,0.979915,0.9798459,0.9618104,0.99698544,0.97667915
